Estrella,EW,FWHM
HD886,0.1784,0.352,
HD1279,0.222,0.624,
HD2011,0.3128,2.816,
HD2083,0.0971,0.736,
HD2905,0.2164,1.808,
HD3240,0.4333,1.392,
HD3360,0.2006,0.512,
HD3901,0.2944,2.992,
HD4142,0.4239,3.968,
HD5551,0.3495,1.504,
HD6675,0.1436,0.992,
HD7902,0.4518,1.024,
HD9311,0.4021,0.992,
HD10205,0.2531,1.712,
HD12301,0.4419,0.864,
HD13256,0.1747,1.936,
HD13841,0.2089,1.248,
HD13854,0.2205,1.568,
HD13969,0.1715,1.712,
HD14053,0.2133,0.768,
HD14134,0.3643,1.152,
HD14143,0.3118,1.648,
HD14542,0.4721,1.04,
HD14956,0.2352,1.216,
HD15497,0.5058,1.072,
HD15690,0.3102,1.264,
HD16046,0.3379,0.976
HD16808,0.1225,1.696
HD17145,0.4088,0.992
HD20365,0.262,2.624
HD20809,0.3224,4.176
HD21071,0.2837,1.328
HD21279,0.4581,3.712
HD21291,0.5772,0.928
HD21483,0.2674,2.816
HD21661,0.3309,0.336
HD21672,0.3597,4.496
HD21931,0.4549,3.104
HD23288,0.3918,4.304
HD23324,0.3814,4.288
HD23338,0.3139,2.24
HD23432,0.4021,3.18
HD23568,0.4046,4.24
HD23850,0.3395,3.56
HD23873,0.4258,1.74
HD23923,0.3254,6.78
HD24398,0.251,1.24
HD26739,0.2535,0.74
HD30836,0.2031,1.0
HD31327,0.3198,1.06
HD17081,0.3427,0.528
HD23408,0.1762,0.68
HD32630,0.3775,2.02
HD34085,0.6049,1.18
HD34503,0.2598,1.5
HD34759,0.2324,1.44
HD35299,0.192,0.42
HD35497,0.2107,1.34
HD35600,0.396,0.78
HD36212,0.2764,0.8
HD36285,0.5639,0.4
HD36371,0.3168,1.1
HD36629,0.1692,0.4
HD36822,0.1315,0.66
HD36936,0.3196,4.64
HD36960,0.1149,0.7
HD37042,0.1102,0.68
HD37128,0.0968,1.6
HD37744,0.1518,0.82
HD38899,0.4177,0.66
HD41117,0.2081,1.5
HD41692,0.256,0.66
HD42087,0.2297,1.16
HD44743,0.1497,0.76
HD46075,0.299,1.12
HD46300,0.4401,0.5
HD46328,0.1195,0.42
HD48434,0.1632,1.52
HD49340,0.2722,4.16
HD49567,0.2866,1.66
HD49606,0.2271,0.48
HD51309,0.3444,0.92
HD51688,0.2062,0.72
HD52089,0.2143,0.8
HD53138,0.4625,1.34
HD57608,0.2895,0.38
HD58350,0.4497,1.14
HD87737,0.5485,0.58
HD87901,0.2873,6.92
HD90994,0.3108,1.66
HD91316,0.1838,1.44
HD93249,0.0793,0.92
HD103287,0.3925,3.74
HD120315,0.2882,3.54
HD123299,0.3912,0.64
HD149438,0.0947,0.36
HD144206,0.2518,0.4
HD144218,0.3072,1.36
HD144470,0.1763,2.4
HD147394,0.2676,0.7
HD148605,0.2289,4.54
HD155763,0.292,0.92
HD160762,0.2099,0.38
HD161572,0.2507,4.18
HD164353,0.4044,0.86
HD164402,0.1108,1.62
HD169454,0.2595,1.92
HD170682,0.2771,2.94
HD170719,0.3116,0.64
HD171012,0.15,1.94
HD171301,0.2733,0.76
HD172167,0.3007,0.54
HD175191,0.3958,3.88
HD176437,0.3412,1.4
HD178849,0.2838,0.82
HD179761,0.3174,0.46
HD180554,0.2622,1.62
HD181440,0.3459,1.34
HD182255,0.3687,0.58
HD183143,0.4539,1.14
HD184943,0.5919,1.06
HD186882,0.3872,3.46
HD190066,0.2256,1.98
HD190603,0.2831,2.08
HD190919,0.1915,1.38
HD191243,0.3892,0.78
HD192422,0.1753,2.22
HD193007,0.1406,1.58
HD193076,0.2198,1.76
HD193183,0.2733,1.4
HD194779,0.2286,2.52
HD194839,0.1108,1.72
HD196867,0.4305,2.88
HD197345,0.6426,0.84
HD198478,0.3611,1.22
HD199478,0.4698,1.1
HD201795,0.1203,0.36
HD202850,0.5806,0.96
HD204172,0.1009,1.76
HD205196,0.1202,1.46
HD206165,0.251,1.3
HD207330,0.2706,1.02
HD208501,0.4873,1.12
HD208947,0.2863,2.84
HD211924,0.2317,0.64
HD212097,0.401,1.58
HD212593,0.4866,0.72
HD213087,0.1377,2.0
HD214923,0.3592,3.66
HD214993,0.2425,0.76
HD215191,0.1904,4.96
HD216411,0.1432,1.54
HD218376,0.1849,0.98
HD222661,0.376,3.22
HD223960,0.5686,0.96
HD224112,0.2254,0.9
