Estrella,EW,FWHM
HD886,1.8671,14.208,
HD1279,4.7218,12.096,
HD2011,5.7501,14.976,
HD2083,0.5609,15.104,
HD2905,1.1819,5.888,
HD3240,4.5826,15.232,
HD3360,2.6534,13.6,
HD3901,3.5444,15.888,
HD4142,3.3087,16.048,
HD5551,1.4389,5.936,
HD6675,0.5252,7.696,
HD7902,1.8142,5.04,
HD9311,2.742,6.832,
HD10205,3.8279,10.928,
HD12301,3.0949,6.624,
HD13256,1.1132,4.432,
HD13841,1.1803,7.152,
HD13854,1.0098,5.808,
HD13969,1.5221,10.912,
HD14053,1.4903,9.552,
HD14134,1.6051,5.376,
HD14143,1.1969,5.136,
HD14542,1.9869,5.248,
HD14956,1.1602,4.896,
HD15497,1.7215,4.672,
HD15690,1.3347,6.208,
HD16046,3.9166,12.832
HD16808,0.9097,8.448
HD17145,1.9989,4.912
HD20365,2.4966,13.76
HD20809,2.9329,15.152
HD21071,2.8414,16.224
HD21279,2.8086,14.432
HD21291,2.6757,4.672
HD21483,2.8921,14.176
HD21661,5.3106,10.416
HD21672,2.3303,13.104
HD21931,3.8606,18.432
HD23288,3.5358,14.96
HD23324,3.3168,15.072
HD23338,4.1248,14.112
HD23432,3.2213,18.24
HD23568,2.9803,19.74
HD23850,5.5465,16.62
HD23873,2.4774,16.2
HD23923,3.2711,20.76
HD24398,1.3475,7.6
HD26739,3.2661,14.84
HD30836,1.9841,10.2
HD31327,1.8579,7.14
HD17081,2.9463,14.3
HD23408,4.9181,12.46
HD32630,2.4531,18.06
HD34085,2.5653,4.96
HD34503,3.4718,14.18
HD34759,1.8454,16.48
HD35468,3.0645,14.56
HD35497,3.4448,15.0
HD35600,3.6199,7.82
HD36212,2.6237,8.48
HD36285,0.6584,15.42
HD36371,1.7838,5.42
HD36629,0.7393,15.06
HD36822,1.1906,13.2
HD36936,2.0558,21.0
HD36960,0.7291,12.82
HD37128,0.8715,7.66
HD37744,0.4071,13.26
HD38899,3.0264,15.08
HD41117,1.2229,4.84
HD41692,3.4616,13.14
HD42087,1.2473,6.04
HD44743,1.3028,9.84
HD46075,3.0609,15.12
HD46300,4.4618,8.22
HD46328,1.6101,15.08
HD48434,0.6494,8.12
HD49340,3.651,15.46
HD49567,2.7393,12.54
HD49606,2.7255,14.28
HD51309,2.5403,7.04
HD51688,2.6582,14.92
HD57608,4.4032,11.5
HD58350,2.2863,5.5
HD87737,4.2815,7.64
HD87901,3.2057,18.9
HD90994,2.2375,16.68
HD91316,1.5976,8.18
HD103287,3.5999,16.66
HD120315,1.4888,15.86
HD123299,3.9311,14.02
HD144206,3.4808,14.26
HD144218,0.7027,13.82
HD144470,0.2081,8.12
HD147394,1.9498,13.22
HD148605,0.6751,13.26
HD149438,0.1836,9.56
HD155763,3.5182,13.0
HD160762,2.2739,15.12
HD161572,1.0452,13.54
HD164353,2.0985,6.8
HD164402,0.7735,9.36
HD169454,1.1669,4.0
HD170682,3.6203,14.32
HD170719,3.6347,14.3
HD171012,0.8686,8.12
HD171301,2.6451,15.7
HD172167,3.3857,14.72
HD175191,1.0479,16.42
HD176437,5.8531,13.02
HD178849,1.6776,11.52
HD179761,3.4196,12.96
HD180554,2.113,14.74
HD181440,4.1396,16.14
HD182255,2.4743,17.42
HD183143,1.4362,3.72
HD184943,2.0813,5.1
HD186882,4.5715,17.3
HD52089,0.8177,11.1
HD93249,0.2158,8.06
HD190066,0.8261,9.2
HD190603,1.2055,4.16
HD190919,0.6476,6.88
HD191243,2.6806,6.86
HD192422,0.6251,8.56
HD193007,0.6331,8.72
HD193076,1.0242,9.74
HD193183,1.0196,7.5
HD194779,1.5938,11.44
HD194839,1.0481,6.1
HD196867,3.7861,17.06
HD197345,2.8765,4.16
HD198478,1.6404,5.1
HD199478,1.6147,4.02
HD201795,0.8443,19.26
HD202850,2.4758,5.34
HD204172,0.523,7.54
HD205196,0.8437,8.58
HD206165,1.4002,6.28
HD207330,2.0882,10.82
HD208501,2.3273,5.28
HD208947,0.9941,13.86
HD211924,2.8719,13.66
HD212097,4.5166,14.7
HD212593,2.9998,6.38
HD213087,0.5717,6.4
HD214923,3.6981,16.86
HD214993,1.4768,12.64
HD215191,0.745,12.82
HD216411,0.8949,4.62
HD218376,0.7676,8.98
HD222661,2.2922,17.24
HD223960,1.9927,3.92
HD224112,2.3117,15.06
