Estrella,EW,FWHM
HD886,0.938,1.072,
HD1279,0.1669,1.12,
HD2011,0.3066,7.248,
HD2083,0.72,1.584,
HD2905,0.4561,1.712,
HD3360,0.9863,1.28,
HD3901,0.7628,3.68,
HD4142,0.565,4.304,
HD5551,0.5734,1.584,
HD6675,0.5574,1.552,
HD7902,0.7697,1.072,
HD9311,0.3517,1.104,
HD10205,0.3436,2.992,
HD12301,0.2231,0.864,
HD13256,0.5819,1.376,
HD13841,0.4771,1.504,
HD13854,0.5594,1.648,
HD13969,0.6247,1.84,
HD14053,0.5458,1.264,
HD14134,0.4822,1.296,
HD14143,0.5289,1.616,
HD14542,0.1778,0.864,
HD14956,0.4391,1.312,
HD15497,0.2473,1.008,
HD15690,0.5393,1.488,
HD16046,0.1618,2.704
HD16808,0.3829,1.68
HD17145,0.2515,1.024
HD20365,0.6483,3.232
HD20809,0.6432,4.64
HD21071,0.5486,2.208
HD21279,0.2989,8.96
HD21291,0.1222,0.752
HD21483,0.9051,3.152
HD21661,0.0876,0.464
HD21672,0.3693,7.552
HD21931,0.1723,3.52
HD23288,0.5095,5.632
HD23324,0.3842,6.48
HD23338,0.4778,3.296
HD23432,0.3817,7.42
HD23568,0.2722,5.86
HD23850,0.4025,6.88
HD23873,0.2187,3.0
HD23923,0.3462,8.92
HD24398,0.4774,1.52
HD26739,0.6153,1.52
HD30836,0.7337,1.5
HD31327,0.621,1.32
HD3240,0.2198,2.048
HD17081,0.3231,1.184
HD23408,0.2515,1.44
HD32630,0.8981,2.74
HD34085,0.2818,0.98
HD34503,0.3776,1.88
HD34759,0.7981,2.18
HD35299,0.9905,1.14
HD35497,0.2757,1.98
HD35600,0.1648,0.88
HD36212,0.5731,1.12
HD36285,1.0946,1.38
HD36371,0.3708,1.18
HD36629,0.8811,1.32
HD36822,0.5278,1.2
HD36936,0.5992,4.9
HD36960,0.6345,1.36
HD37042,0.7868,1.46
HD37128,0.3671,1.84
HD37744,0.8692,1.64
HD41117,0.4616,1.5
HD41692,0.5227,1.22
HD42087,0.4284,1.36
HD38899,0.0916,2.44
HD44743,0.5486,1.26
HD46075,0.2537,1.84
HD46300,0.0544,0.4
HD46328,0.6421,0.96
HD48434,0.4842,1.78
HD49340,0.4353,4.92
HD49567,0.7793,2.02
HD49606,0.0674,1.18
HD51309,0.5444,1.14
HD51688,0.2039,2.14
HD52089,0.6571,1.3
HD53138,0.5176,1.38
HD57608,0.0905,0.46
HD58350,0.4985,1.22
HD87737,0.0714,0.42
HD87901,0.2768,5.94
HD90994,0.389,2.62
HD91316,0.5178,1.64
HD93249,0.2925,1.8
HD103287,0.2012,3.42
HD120315,0.7427,4.1
HD144206,0.0514,0.9
HD144218,1.0171,2.22
HD144470,0.6795,2.68
HD147394,0.4813,1.44
HD148605,0.9824,4.42
HD149438,0.715,1.0
HD155763,0.2398,1.52
HD160762,0.9,0.96
HD161572,0.5844,4.66
HD164353,0.5055,1.04
HD164402,0.4432,1.9
HD169454,0.3714,1.36
HD170682,0.4138,2.88
HD170719,0.352,1.08
HD171012,0.4158,2.04
HD171301,0.1236,2.18
HD172167,0.163,0.9
HD175191,0.9428,4.24
HD176437,0.0419,1.46
HD178849,0.8249,1.74
HD179761,0.2838,0.9
HD180554,0.6966,2.5
HD181440,0.1023,1.92
HD182255,0.3031,1.46
HD183143,0.2914,1.08
HD184943,0.2169,1.0
HD186882,0.0979,4.94
HD123299,0.0162,0.74
HD190066,0.4118,1.74
HD190603,0.4376,1.26
HD190919,0.4398,1.64
HD191243,0.3785,0.96
HD192422,0.4593,1.92
HD193007,0.3435,1.72
HD193076,0.443,1.88
HD193183,0.4647,1.68
HD194779,0.6578,2.7
HD194839,0.3711,1.88
HD196867,0.1369,5.06
HD197345,0.2681,0.48
HD198478,0.479,1.3
HD199478,0.3056,1.08
HD201795,0.7056,0.98
HD202850,0.184,0.88
HD204172,0.3842,2.04
HD205196,0.4846,1.84
HD206165,0.4596,1.4
HD207330,0.6301,1.58
HD208501,0.3607,1.14
HD208947,1.0012,3.32
HD211924,0.448,1.48
HD212097,0.1349,1.72
HD212593,0.192,0.62
HD213087,0.4885,2.0
HD214923,0.2273,6.11
HD214993,0.6585,1.48
HD215191,0.7963,4.38
HD216411,0.4268,1.56
HD218376,0.6284,1.52
HD223960,0.1463,0.9
HD224112,0.126,1.78
